account,amount,timestamp
Blaine,37.03,11/23/2019
Cookie,92.57,8/7/2019
Rheta,35.73,11/14/2019
Jo ann,83.09,9/24/2019
Irita,40.57,1/13/2019
Tom,14.94,7/31/2019
Andee,46.41,9/12/2019
Dwight,99.99,11/23/2019
Anita,86.67,9/23/2019
Konstantine,90.94,10/4/2019
Carroll,21.83,8/23/2019
Nappie,40.14,12/9/2019
Hilliary,75.7,9/2/2019
Monah,45.59,3/15/2019
Katalin,70.42,8/24/2019
Thelma,77.34,6/8/2019
Mayne,0.38,10/30/2019
Tarah,6.05,4/17/2019
Lesya,92.05,3/4/2019
Tannie,26.83,10/16/2019
Calv,20.03,3/21/2019
Gladi,72.08,4/17/2019
Arie,74.86,11/22/2019
Allegra,22.22,3/30/2019
Randene,19.69,4/23/2019
Olimpia,64.27,4/11/2019
Carley,73.66,4/6/2019
Merla,19.82,3/1/2019
Sheilakathryn,92.39,5/22/2019
Zechariah,20.51,6/8/2019
Leonidas,8.78,4/3/2019
Jilleen,39.32,3/20/2019
Christa,10.6,9/9/2019
Charity,43.62,5/27/2019
Cosette,61.01,11/15/2019
Ashbey,88.66,3/5/2019
Sophronia,88.86,4/3/2019
Duffy,5.64,4/23/2019
Dido,92.51,11/28/2019
Joaquin,77.86,4/7/2019
Addy,75.96,1/30/2019
Jo,70.37,7/31/2019
Ola,7.33,4/23/2019
Jerome,68.45,2/27/2019
Lou,41.15,6/11/2019
Alena,56.17,3/30/2019
Lucy,8.02,7/15/2019
Nell,41.09,8/11/2019
Carline,41.79,1/30/2019
Poppy,62.86,6/1/2019
Hobie,46.34,1/15/2019
Jacques,0.13,3/27/2019
Scot,84.36,10/1/2019
Sharyl,65.27,12/11/2019
Alard,42.8,12/7/2019
Dorry,64.23,2/25/2019
Ginger,85.73,3/25/2019
Staford,36.23,7/17/2019
Nessa,55.55,6/6/2019
Hussein,4.95,8/23/2019
Gill,42.26,11/8/2019
Yorgo,78.73,10/27/2019
Tully,1.78,2/28/2019
Maddie,67.7,4/5/2019
Ramonda,83.66,8/4/2019
Addy,9.8,8/8/2019
Clark,89.94,3/5/2019
Lanie,73.54,7/7/2019
Babb,33.44,12/11/2019
Harlene,35.01,11/5/2019
Douglass,7.65,9/28/2019
Ingelbert,17.11,6/9/2019
Donovan,48.28,5/7/2019
Cyrill,22.73,6/1/2019
Karry,41.76,12/17/2019
Abbi,26.52,3/22/2019
Kalila,13.38,7/1/2019
Lewiss,42.1,8/2/2019
Lauren,66.05,12/16/2019
Alissa,31.11,7/16/2019
Hilary,28.98,1/12/2019
Romeo,42.06,6/13/2019
Verne,14.08,8/26/2019
Colette,7.18,9/12/2019
Matthiew,64.48,3/14/2019
Juana,98.57,7/13/2019
Minni,55.71,3/22/2019
Neely,86.94,6/24/2019
Luther,41.05,9/17/2019
Tuesday,77.58,11/19/2019
Oates,68.66,4/11/2019
Louisette,22.82,1/21/2019
Alvira,69.45,6/14/2019
Brian,38.74,1/12/2019
Blythe,6.31,5/26/2019
Colver,9.5,8/29/2019
Cindelyn,4.31,1/17/2019
Noland,74.97,7/20/2019
Bertrando,22.34,5/15/2019
Vasilis,5.13,2/25/2019
Regan,11.95,4/22/2019
Frasier,95.69,7/1/2019
Lorine,79.59,7/10/2019
Ettore,14.85,2/27/2019
Rena,34.51,10/26/2019
Angel,17.77,10/14/2019
Marcelline,87.43,9/17/2019
Christabella,95.42,3/1/2019
Hi,10.45,11/25/2019
Hurley,29.17,11/8/2019
Jory,79.04,11/4/2019
Morgen,21.84,9/17/2019
Chastity,89.9,2/8/2019
Karney,97.75,4/19/2019
Brittany,69.27,12/4/2019
Betsey,62.94,4/27/2019
Merna,48.15,1/6/2019
Phyllys,54.63,12/22/2019
Jamey,39.93,3/18/2019
Padraic,76.26,8/31/2019
Rowen,40.69,3/14/2019
Pepillo,7.96,11/15/2019
Ellene,47.86,7/8/2019
Louisa,79.65,9/26/2019
Addi,23.07,4/17/2019
Deva,78.95,4/2/2019
Charlena,33.7,4/1/2019
Alexa,65.33,9/3/2019
Sheena,92.55,9/10/2019
Arliene,49.22,10/15/2019
Gerti,66.52,6/7/2019
Dario,64.24,6/26/2019
Nerte,42.53,7/25/2019
Kissee,67.76,5/8/2019
Phyllis,72.26,2/11/2019
Garrard,28.28,5/19/2019
Michael,92.53,3/12/2019
Artur,20.02,1/12/2019
Phylis,65.56,12/19/2019
Alica,28.15,4/30/2019
Orton,90.6,4/13/2019
Kellen,88.66,4/17/2019
Denyse,41.03,7/11/2019
Chico,77.55,1/16/2019
Sallee,45.84,4/25/2019
Lindsey,36.11,1/16/2019
Kristos,69.74,6/5/2019
Lyman,88.24,9/4/2019
Mufi,96.22,2/26/2019
Marrissa,3.29,10/2/2019
Christina,5.33,11/6/2019
Maiga,31.51,2/4/2019
Arlina,81.53,8/14/2019
Rori,63.03,11/22/2019
Gabriello,96.71,5/17/2019
Cointon,0.39,10/31/2019
Wain,87.74,6/16/2019
Adrian,21.92,6/1/2019
Amalia,25.67,8/11/2019
Lilith,34.61,9/10/2019
Johannes,54.25,2/1/2019
Teri,23.34,3/28/2019
Donelle,85.8,9/13/2019
Diahann,35.48,7/13/2019
Shanna,88.24,12/13/2019
Ethelda,55.83,11/30/2019
Mollie,81.21,12/29/2019
Trevor,78.37,5/15/2019
Marillin,58.51,8/28/2019
Enos,32.4,3/24/2019
Bax,26.01,2/16/2019
Hartwell,71.13,11/13/2019
Randell,1.16,9/22/2019
Cchaddie,70.16,3/4/2019
Estell,86.11,5/26/2019
Frederick,73.68,11/13/2019
Sylvan,52.95,8/22/2019
Crissie,18.55,2/15/2019
Ash,43.51,7/21/2019
Xenia,6.42,5/15/2019
Kacey,20.51,10/24/2019
Constantina,93.8,6/10/2019
Randa,59.59,11/3/2019
Randal,94.35,1/19/2019
Jacenta,71.8,11/9/2019
Isac,17.21,6/18/2019
Lyda,57.28,4/15/2019
Lisabeth,89.75,5/27/2019
Daisey,83.62,10/9/2019
Fara,11.83,1/3/2020
Emmye,80.55,1/14/2019
Dion,5.55,10/22/2019
Lev,35.2,5/25/2019
Annaliese,97.16,1/14/2019
Calvin,73.2,7/25/2019
Chalmers,73.76,11/21/2019
Aldridge,70.13,7/18/2019
Richart,55.03,1/28/2019
Candida,93.19,2/6/2019
Devonne,47.06,9/2/2019
Antonia,6.93,3/22/2019
Michaella,10.67,2/2/2019
Heida,97.43,11/17/2019
Karla,50.85,6/22/2019
Florence,34.67,3/3/2019
Chet,53.99,4/29/2019
Herve,53.18,7/20/2019
Fielding,78.67,3/16/2019
Pietrek,2.29,4/28/2019
Kathryne,87.41,8/12/2019
Garnet,44.53,5/27/2019
Gabbie,9.54,9/13/2019
Titus,71.45,9/1/2019
Broderic,36.94,12/16/2019
Dorelia,52.21,12/8/2019
Flo,8.6,11/20/2019
Estrella,39.4,9/9/2019
Gibb,5.55,3/15/2019
Cinda,98.36,6/9/2019
Charita,16.39,11/8/2019
Fawne,97.95,1/26/2019
Ainsley,79.68,1/23/2019
Gunter,38.41,3/24/2019
Morgen,4.24,3/25/2019
Andrey,33.87,12/21/2019
Even,52.23,1/2/2020
Hatti,17.55,12/21/2019
Noll,27.47,10/16/2019
Anjela,72.54,2/20/2019
Marina,83.18,10/2/2019
Gilemette,25.92,9/12/2019
Fara,13.83,11/22/2019
Leah,32.24,9/9/2019
Dugald,82.49,6/12/2019
Solly,44.99,12/22/2019
Tomas,30.04,7/13/2019
Kimmy,90.1,6/27/2019
Venus,67.74,11/18/2019
Stinky,64.89,6/12/2019
Louisa,22.89,5/11/2019
Aurora,31.13,4/29/2019
Maressa,30.45,1/20/2019
Aldridge,26.74,12/18/2019
Averell,76.29,6/4/2019
Waly,65.75,12/23/2019
Bail,62.74,1/30/2019
Tonia,5.55,12/1/2019
Mikey,52.14,11/17/2019
Brander,82.2,4/24/2019
Justen,9.7,5/6/2019
Dennet,15.31,8/8/2019
Emery,33.83,8/14/2019
Truda,84.41,11/30/2019
Sergio,68.01,4/13/2019
Dominica,19.42,10/28/2019
Corbett,5.39,6/13/2019
Rolph,92.07,3/8/2019
Harriot,94.12,7/10/2019
Darda,68.82,11/21/2019
Wendeline,27.13,5/20/2019
Merrili,7.45,12/31/2019
Tammara,91.36,1/29/2019
Ilka,45.52,6/27/2019
Stacie,49.14,8/25/2019
Zandra,64.36,10/7/2019
Kaye,46.77,4/22/2019
Ethelred,50.62,1/9/2019
Marchall,9.84,6/8/2019
Michele,84.61,12/30/2019
Sybille,81.93,10/18/2019
Guglielma,27.63,1/16/2019
Grete,20.81,2/23/2019
Frazer,28.7,1/4/2019
Georg,74.46,8/22/2019
Frants,27.34,12/24/2019
Kizzie,56.41,8/12/2019
Duky,76.5,7/10/2019
Demetris,21.47,1/29/2019
Rog,62.12,3/15/2019
Mariejeanne,2.13,10/25/2019
Celle,55.45,11/9/2019
Ulrica,39.9,7/11/2019
Skippy,80,8/5/2019
Ann-marie,83.68,5/18/2019
Cory,37.53,1/19/2019
Umberto,36.47,4/4/2019
Gabriela,65.79,1/9/2019
Clio,45.5,5/22/2019
Monro,9.85,6/25/2019
Catherin,30.36,10/28/2019
Eula,3.35,9/27/2019
Hasty,68.92,7/3/2019
Leisha,56.3,9/30/2019
Ev,34.87,2/3/2019
Elizabet,6.52,7/24/2019
Christiano,65.43,7/20/2019
Lottie,3.73,12/7/2019
Julieta,4.7,11/15/2019
Nehemiah,3.16,10/10/2019
Pietra,56.13,2/26/2019
Wallas,92.87,2/2/2019
Korella,87.69,10/10/2019
Cullan,14.19,5/11/2019
Robena,88.27,9/23/2019
Nanon,73.23,3/9/2019
Susanetta,98.92,6/12/2019
Jackquelin,6.46,8/3/2019
Burch,72.88,5/11/2019
Reggi,10.75,8/12/2019
Grayce,20.98,7/29/2019
Ally,82.66,12/3/2019
Carolyn,90.64,7/19/2019
Nicoline,28.92,8/28/2019
Deidre,86.58,5/6/2019
Tove,28.97,10/18/2019
Ardis,84.73,8/20/2019
Mel,63.01,7/13/2019
Sibel,69.22,2/1/2019
Breanne,11.79,5/12/2019
Clarette,42.94,10/25/2019
Kip,99.96,12/26/2019
Lanie,62.77,3/4/2019
Neil,4.2,1/19/2019
Brigid,23.85,11/2/2019
Aile,41.93,3/11/2019
Hale,77.76,9/19/2019
Janith,84.52,12/9/2019
Ilyssa,73.23,6/18/2019
Tiffie,98.81,2/16/2019
Flo,8.68,3/26/2019
Packston,23.93,7/12/2019
Flinn,77.55,9/3/2019
Linc,90.25,7/22/2019
Kalindi,1.87,2/3/2019
Sherilyn,79.48,1/7/2019
Wit,61.95,8/2/2019
Kari,4.1,4/27/2019
Far,64.3,9/4/2019
Babb,62.92,5/14/2019
Tobe,70.83,12/16/2019
Lanae,65.38,4/17/2019
Courtenay,18.81,9/10/2019
Rosalynd,97.48,12/3/2019
Antonin,15.55,3/11/2019
Marv,26.44,11/22/2019
Mahmoud,25.72,5/10/2019
Valida,0.26,4/10/2019
Marylynne,99.25,3/11/2019
Abdul,35.61,12/24/2019
Fielding,86.98,2/18/2019
Nadeen,68.97,11/2/2019
Charis,15.65,9/11/2019
Lillis,9.65,4/10/2019
Gilemette,23.75,9/27/2019
Laird,97.61,4/9/2019
Brunhilda,60.22,2/12/2019
Rooney,83.67,1/3/2020
Milt,95.26,6/25/2019
Scott,46.87,10/15/2019
Alastair,78.25,1/19/2019
Binnie,64.53,8/10/2019
Tamara,88.55,12/19/2019
Kayley,39.59,8/30/2019
Adel,6.94,4/23/2019
Adriaens,19.62,10/25/2019
Egan,1.92,9/12/2019
Rheba,66.26,4/9/2019
Fonzie,58.52,7/13/2019
Gretna,14.93,12/19/2019
Lotti,37.77,4/23/2019
Donny,1.16,8/26/2019
Carmelita,48.46,12/16/2019
Brucie,84.37,10/11/2019
Hervey,50.07,9/20/2019
Minda,28.53,11/20/2019
Sherlocke,49.29,4/30/2019
Aigneis,69.72,10/10/2019
Sapphira,17.22,5/25/2019
Eloisa,95.88,2/23/2019
Dael,58.93,12/30/2019
Alden,50.11,8/26/2019
Annalise,54.75,12/7/2019
Marijn,27.8,9/24/2019
Fania,24.13,3/24/2019
Natalie,54.54,5/19/2019
Evangelina,62.71,12/5/2019
Cal,6.25,4/19/2019
Ingemar,7.41,1/5/2019
Rafferty,66.73,8/12/2019
Erena,91.84,5/6/2019
Byrom,40.49,2/27/2019
Dorie,58.87,6/25/2019
Dion,37.38,11/7/2019
Breanne,33.59,4/29/2019
Abbie,70.24,1/9/2019
Margit,83.74,9/2/2019
Hunt,73.58,9/25/2019
Sean,13.91,8/25/2019
Emili,74.24,10/8/2019
Krissie,99.68,11/22/2019
Virgie,0.91,9/7/2019
Traci,8.24,1/23/2019
Emelia,27.64,5/24/2019
Ingar,54.55,5/29/2019
Isabel,50.69,11/21/2019
Mariann,2.81,4/6/2019
Jaime,62.43,1/3/2020
Ezekiel,92.14,1/6/2019
Markus,32.88,10/22/2019
Pennie,79.48,9/3/2019
Marys,18.61,12/22/2019
Denni,10.73,7/6/2019
Mickie,45.57,7/17/2019
Alisha,28.74,5/6/2019
Cecilio,84.65,10/2/2019
Marlow,11.82,11/16/2019
Catharina,57.37,10/29/2019
Ilario,90.72,4/25/2019
Jobyna,34.34,7/5/2019
Read,47.33,3/8/2019
Fairleigh,5.03,6/13/2019
Guillemette,16.35,6/19/2019
Gabrila,8.38,1/17/2019
Cal,25.5,12/15/2019
Maxwell,28.03,7/22/2019
Carlyle,28.83,9/9/2019
Heidi,13.25,10/15/2019
Fonzie,76.15,12/8/2019
Karie,82.58,3/5/2019
Kent,29.34,12/23/2019
Ignaz,92.48,2/6/2019
Parry,90.48,4/6/2019
Gav,83.54,4/8/2019
Dareen,85.97,4/18/2019
Anatollo,44.47,4/30/2019
Florentia,53.21,11/8/2019
Florencia,51.14,11/16/2019
Reynold,69.77,9/11/2019
Marnia,18.43,9/21/2019
Eleonore,14.08,11/29/2019
Lionello,93.94,2/8/2019
Adora,20.2,10/22/2019
Delaney,99.23,7/5/2019
Eadie,27.15,11/7/2019
Berty,64.12,6/7/2019
Sammy,33.57,5/18/2019
Ermanno,88.33,5/3/2019
Jocko,5.15,8/30/2019
Dame,88.85,12/2/2019
Merralee,56.38,9/2/2019
Davin,82.77,1/25/2019
Lezley,60.36,6/18/2019
Wilhelmine,70.36,4/15/2019
Mufi,97.97,8/24/2019
Ody,88.13,4/14/2019
Bard,83.88,5/15/2019
Walden,69.77,1/23/2019
Cross,20.91,6/8/2019
Dom,82.33,1/18/2019
Silvain,47.84,9/1/2019
Town,50.83,10/15/2019
Marketa,37.39,6/18/2019
Jaymee,77.75,12/10/2019
Kris,13.95,11/24/2019
Caritta,79.66,6/25/2019
Carter,59.42,3/25/2019
Carita,1.68,6/15/2019
Worth,25,4/3/2019
Marne,96.17,11/17/2019
Ronald,8.39,7/4/2019
Nanci,83.46,10/21/2019
Willie,29.18,12/8/2019
Tabbie,9.24,2/24/2019
Ralph,73.52,1/29/2019
Elaine,22.01,8/8/2019
Shell,46.18,10/20/2019
Andromache,2.17,9/3/2019
Emlyn,50.31,6/8/2019
Lorenzo,25.79,11/26/2019
Eunice,74.76,12/1/2019
Darb,9.82,2/8/2019
Gunther,59.98,9/2/2019
Niki,72.55,12/16/2019
Tomkin,83.68,7/30/2019
Zechariah,14.97,8/14/2019
Salvatore,20.48,8/25/2019
Gunter,99.83,5/7/2019
Bren,20.28,2/16/2019
Westley,80.63,6/6/2019
Randa,61.5,5/21/2019
Lilian,94.64,9/10/2019
Bax,43.83,2/8/2019
Zeke,66.93,6/1/2019
Denney,95.01,10/9/2019
Norton,59.83,6/15/2019
Lennard,69.61,12/31/2019
Saraann,46.5,10/13/2019
Alexis,39.91,3/30/2019
Elissa,72.57,5/16/2019
Celine,50.52,12/4/2019
Melina,29.97,9/7/2019
Drugi,94.87,9/13/2019
Hilly,83.7,4/2/2019
Alyssa,44.95,8/19/2019
Matty,53.45,7/27/2019
Paxton,99.62,10/3/2019
Lacee,93.18,4/13/2019
Ebenezer,27.87,10/13/2019
Nat,19.49,9/26/2019
Deeyn,41.94,10/24/2019
Elisha,73.35,11/14/2019
Raynard,68.85,8/3/2019
Torry,33.48,1/7/2019
Cariotta,34.34,4/20/2019
Lavina,59.44,2/25/2019
Callean,72.8,2/24/2019
Allister,45.19,5/9/2019
Keane,33.42,4/20/2019
Turner,95.75,8/8/2019
Roma,64.57,5/10/2019
Philippa,98.99,1/1/2020
Ferguson,35.79,3/30/2019
Kinny,52.51,8/11/2019
Jacky,66.62,7/15/2019
Emilie,38.96,4/17/2019
Peirce,14.79,6/8/2019
Mei,80.94,1/22/2019
Zaneta,18.44,3/6/2019
Andra,9.59,1/12/2019
Sigvard,99.54,4/13/2019
Morly,77.39,4/11/2019
Chev,17.95,11/7/2019
Crichton,71.07,5/6/2019
Julina,84.32,9/13/2019
Anthiathia,90.63,9/8/2019
Cahra,83.18,11/16/2019
Mikkel,16.03,12/28/2019
Cordell,46.37,2/5/2019
Bella,54.83,12/29/2019
Serena,75.51,6/13/2019
Dita,79.37,11/14/2019
Edna,27,10/29/2019
Ellsworth,46.38,3/29/2019
Amelita,25.33,9/12/2019
Karil,28.47,11/22/2019
Nancy,79.6,8/13/2019
Mabel,53.71,1/26/2019
Dominique,0.71,4/6/2019
Pooh,4.09,4/1/2019
Miranda,42.36,1/13/2019
Celina,68.61,12/3/2019
Leon,17.74,5/4/2019
Antonin,69.93,12/28/2019
Huntley,82.08,10/28/2019
Raina,41.82,7/25/2019
Standford,68.92,1/20/2019
Dorry,76.42,12/13/2019
Korey,12.58,7/12/2019
Kendricks,17.34,10/8/2019
Elsworth,72.5,2/10/2019
Honey,39.58,12/5/2019
Feodor,49.35,3/23/2019
Reyna,78.32,8/5/2019
Anna-diana,57.23,10/21/2019
Ronnie,4.47,10/2/2019
Robena,85.96,11/22/2019
Maryann,67.39,5/2/2019
Bobbie,81.2,9/21/2019
Tasia,31.27,9/20/2019
Katuscha,86.06,3/3/2019
Natalina,30.11,5/10/2019
Janith,80.71,6/23/2019
Madelin,92.62,6/26/2019
Ellyn,59.35,6/2/2019
Duffie,73.28,10/14/2019
Ashlin,45.53,11/29/2019
Raimundo,34.6,1/8/2019
Jacquie,87.81,9/21/2019
Beck,95.34,8/20/2019
Cort,8.03,2/9/2019
Pablo,32.82,7/31/2019
Ichabod,70.2,3/23/2019
Clement,90.44,2/17/2019
Teddie,31.77,7/13/2019
Desmund,59.16,2/8/2019
Anette,67,6/5/2019
Eugine,44.43,10/30/2019
Fifi,76.46,9/9/2019
Patrizia,89.64,10/25/2019
Maje,76.05,5/17/2019
Janean,32.98,3/2/2019
Munmro,69.3,9/11/2019
Jarrid,99.75,8/3/2019
Clementius,47.12,5/8/2019
Carmon,0.47,8/5/2019
Claude,14.28,4/9/2019
Hasheem,70.89,12/18/2019
Brandise,86.13,8/12/2019
Jacquelyn,34.78,7/14/2019
Gerick,69.29,8/27/2019
Ode,14.23,4/22/2019
Abelard,19.25,1/24/2019
Bary,22.2,4/13/2019
Brewer,18.11,5/21/2019
Morganne,72.49,6/28/2019
Polly,27.5,6/26/2019
Marthena,34.13,10/13/2019
Wilie,3.52,3/9/2019
Nari,72.98,7/10/2019
Piper,15.67,4/4/2019
Christiane,46.48,12/22/2019
Duky,63.35,7/7/2019
Jasen,76.28,9/2/2019
Gunilla,92.75,3/20/2019
Teena,77.32,7/31/2019
Lanna,30.04,4/25/2019
Hewie,67.14,11/7/2019
Lucais,10.52,4/6/2019
Shirline,76.64,11/2/2019
Gabriel,98.16,2/18/2019
Cornall,33.31,5/11/2019
Gwenette,75.76,9/13/2019
Bonny,84.82,3/26/2019
Marcia,35.87,7/19/2019
Myrtle,97.8,12/16/2019
Margarita,46.02,2/25/2019
Laraine,99.6,11/5/2019
Monika,10.39,12/7/2019
Francesco,17.85,11/6/2019
Melonie,21.47,1/5/2019
Melosa,71.03,11/26/2019
Siobhan,63.52,5/23/2019
Armin,17.75,2/6/2019
Sheffy,33.16,8/14/2019
Wanids,26.42,3/22/2019
Kellina,80.72,10/18/2019
Thorpe,84.89,4/27/2019
Ada,82.37,12/23/2019
Darrick,11.11,11/1/2019
Cyndi,71.41,12/9/2019
Tedi,58.22,3/8/2019
Susette,94.24,1/22/2019
Barthel,77.33,11/23/2019
Will,97.69,3/3/2019
Verney,27.07,7/11/2019
Ruggiero,67.14,2/28/2019
Michelle,88.59,5/15/2019
Clyve,21.13,10/8/2019
Ardra,68.09,8/3/2019
Jennie,10.24,11/1/2019
Bartram,32.34,10/5/2019
Link,54.82,7/26/2019
Cinderella,33.66,9/5/2019
Reeta,54.46,5/13/2019
Lucretia,81.09,9/14/2019
Meyer,8.84,6/9/2019
Yuri,24.75,5/8/2019
Chelsie,34.45,12/27/2019
Billie,60.63,12/25/2019
Louis,11.61,10/21/2019
Daffy,1.24,8/3/2019
Adey,59.65,6/1/2019
Emmalynne,9.62,5/9/2019
Lacee,48.53,2/23/2019
Giraldo,8.39,2/7/2019
Estevan,53.69,6/28/2019
Jay,71.36,1/24/2019
Constantia,84.07,10/29/2019
Brietta,71.13,12/2/2019
Alethea,3.51,6/25/2019
Lucy,88.7,1/9/2019
Daryl,90.51,6/1/2019
Stuart,74.74,10/12/2019
Ted,54.27,2/1/2019
Quinn,10.13,3/22/2019
Gar,82.88,2/22/2019
Marje,7.6,8/12/2019
Celie,95.6,3/12/2019
Crystie,25.12,9/9/2019
Dianne,44.58,2/3/2019
Clarine,84.5,7/20/2019
Bendite,35.49,2/7/2019
Garvey,29.56,5/21/2019
Essy,95.96,9/20/2019
Paolina,27.38,3/20/2019
Woodie,13.38,4/23/2019
Marianne,72.91,2/15/2019
Bobbie,56.1,11/29/2019
Susannah,76.65,6/7/2019
Louie,39.41,8/6/2019
Tana,46.43,9/27/2019
Dan,5.58,2/9/2019
Courtenay,69.52,10/7/2019
Katharine,4.88,12/8/2019
Miguelita,23.65,7/14/2019
Dell,86.27,12/22/2019
Antoine,50.38,2/2/2019
Arlana,48.11,10/21/2019
Melinde,40.47,6/19/2019
Jacquetta,97.29,11/29/2019
Olwen,77.17,3/27/2019
Marcelline,99.71,10/8/2019
Arabel,47.96,10/21/2019
Lavinie,84.91,8/31/2019
